ardennite	(Mn,Ca,Mg)4[(Al,Fe)5Mg](As,V)O4(SiO4)2(Si3O10)(OH)6
argentojarosite	Ag2Fe6(SO4)4(OH)12
argentopentlandite	Ag(Fe,Ni)8S8
argentopyrite	AgFe2S3
argentotennantite	(Ag,Cu)10(Zn,Fe)2(As,Sb)4S13
argutite	GeO2
argyrodite	Ag8GeS6
arhbarite	Cu2(AsO4)(OH)
aristarainite	Na2MgB12O20
armalcolite	(Mg,Fe)Ti2O5
armangite	Mn26As18O50(OH)4(CO3)
armenite	BaCa2Al6Si9O30
armstrongite	CaZrSi6O15.2
arrojadite	KNa4CaMn4Fe10Al(PO4)12(OH,F)2
arsenbrackebuschite	Pb2(Fe,Zn)(AsO4)2(OH,H2O)
arsendescloizite	PbZn(AsO4)(OH)
arsenic	As
arseniopleite	NaCaMn(Mn,Mg)2(AsO4)3
arseniosiderite	Ca2Fe3(AsO4)3O2
arsenoclasite	Mn5(AsO4)2(OH)4
arsenocrandallite	(Ca,Sr)Al3[(As,P)O4]2(OH)5.H2O
arsenoflorencite-(ce)	(Ce,La)Al3(AsO4,PO4)2(OH)6
arsenogorceixite	HBaAl3(AsO4)2(OH)6
arsenogoyazite	(Sr,Ca,Ba)Al3(AsO4,PO4)2(OH,F)5.H2O
arsenohauchecornite	Ni9BiAsS8
arsenolamprite	As
arsenolite	As2O3
arsenopalladinite	Pd8(As,Sb)3
arsenopyrite	FeAsS
arsenosulvanite	Cu3(As,V)S4
arsenpolybasite	(Ag,Cu)16(As,Sb)2S11
arsentsumebite	Pb2Cu(AsO4)(SO4)(OH)
arsenuranospathite	HAl(UO2)4(AsO4)4
arsenuranylite	Ca(UO2)4(AsO4)2(OH)4
arthurite	CuFe2(AsO4,PO4,SO4)2(O,OH)2
artinite	Mg2(CO3)(OH)2
artroeite	PbAlF3(OH)2
arupite	(Ni,Fe)3(PO4)2
arzakite	Hg3S2(Br,Cl)2
asbecasite	Ca3(Ti,Fe,Sn)(Be,B,Al)2(As,Sb)3O6(SiO4)2
asbolane	(Co,Ni)1-y(MnO2)2-x(OH)2-2y2x.nH2O
aschamalmite	Pb6Bi2S9
ashburtonite	Pb4Cu4Si4HO12(HCO3)4(OH)4Cl
ashcroftine-(y)	K5Na5(Y,Ca)12Si28O70(OH)2(CO3)8
ashoverite	Zn(OH)2
asisite	Pb9(SiO4)O6Cl2
aspidolite	NaMg3AlSi3O10(OH)2
asselbornite	(Pb,Ba)(UO2)6(BiO)4(AsO4)2(OH)12
astrocyanite-(ce)	Cu2(Ce,Nd,La,Pr,Sm,Ca,Y)2(UO2)(CO3)5(OH)2
